64;138
64;126
64;127
64;126
64;126
64;126
63;125
63;126
63;127
63;128
63;129
63;130
62;131
62;132
62;132
62;133
62;133
61;134
61;134
61;135
61;135
60;135
60;135
60;135
60;134
60;134
60;134
60;133
60;133
59;132
59;131
59;131
59;130
59;133
59;134
60;134
60;133
60;133
61;132
61;132
62;131
62;131
63;130
63;127
64;126
65;126
65;126
66;126
67;126
68;126
68;127
69;127
69;127
69;127
69;127
68;128
68;128
68;128
68;135
67;128
67;128
66;127
67;127
66;127
66;128
66;140
66;140
65;140
65;140
65;140
65;140
65;139
