23;130
23;129
24;130
24;131
24;131
25;132
25;132
25;133
25;133
25;134
25;134
25;134
25;134
25;134
25;134
24;134
24;134
24;133
23;133
23;133
23;132
22;131
22;130
22;130
21;129
21;128
20;127
20;126
19;126
19;125
18;124
18;123
17;123
16;122
16;121
15;121
15;120
15;120
14;121
14;121
14;121
13;122
13;122
13;122
13;123
13;123
13;124
13;124
13;124
13;125
13;126
13;126
13;127
14;127
14;128
14;129
15;129
15;130
16;130
16;130
17;131
17;131
18;131
18;131
19;131
19;132
20;131
20;131
21;131
21;131
22;131
22;130
